"Subject","Baseline_SCM_MVC_Warmup","Mean_SCM_MVC_Increase","SCM_Peak_MVC_WanT","CCI_SCML_MTL_Change","SCM_Bilateral_Asymmetry"
541,6.74854936484488,38.4682315348823,184.039113398993,-0.225867959244549,103.083544863502
560,5.32536238342965,21.3234115367434,61.6279004179634,0.10399668955197,15.9951130036431
570,2.12049127975173,-0.653766483292452,4.29021048344538,-0.466016860146806,2.05659132088855
571,5.47170660877473,19.4609474788717,72.4815122669045,-0.463065129210423,46.8546536154726
572,5.45264256883505,5.6210431302054,27.3953683099901,0.0978452428632104,6.19804607386473
573,6.29119561442424,115.891603311606,388.411605198894,-0.206283728404225,14.9997604834546
574,89.0056957884635,-30.6080511576974,213.608125135557,-0.22257605592744,319.04149026134
575,4.23070640440482,8.28933495135534,41.0062247774742,-0.137977253395664,24.2435399615899
577,7.33917174885015,23.0464463591373,75.0222091004731,-0.0964133984513031,9.76441593480828
578,5.80995338605246,36.1955776079797,112.083372307816,-0.366556170746966,77.5842841627431
579,24.6584148612963,29.5100339654925,227.440226471605,-0.362873374281299,185.369287859461
580,11.1891504637035,61.2100033845724,187.329819673191,-0.269941259075856,127.596304998819
581,7.17739141353918,35.7884218107492,101.745651491365,-0.274049914273695,39.8880923893427
582,6.07061105771015,4.028296997716,20.1270830478752,-0.0697981977235602,10.8730805539931
583,6.025665115566,49.343048962151,192.130481569025,0.112438238252582,19.4853211934088
584,12.7435695901432,5.81561752372183,57.0839566741907,0.133892345408882,39.0017609400118
585,3.51815501476406,96.9440328198774,361.23976395742,-0.499450192736812,49.8513449013033
586,7.23106698333335,1.81499639455554,26.2719519901401,-0.0990868137513703,0.71169333049982
587,4.27236690462595,0.0792655317596846,12.1078756447609,-0.166483141464352,6.89901260112748
588,1.43446956153022,15.3618601417475,60.7454247039865,-0.610614565114229,10.8802702594194
590,4.40273163015616,47.2821913097104,166.445716518876,0.317839233671842,44.9625062926976
591,3.19160037436615,13.7021146498795,73.0655536546166,-0.0667765102151705,0.283848016626266
594,34.2767637090184,15.6482107912092,223.247967526949,-0.713626336232788,307.477040118655
595,5.34967054303778,-3.85993077048283,5.83703078157365,0.0301680179721626,4.07932489815234
596,8.49987741317626,-2.65479870283345,47.4128324613992,-0.113203783278427,19.4010409130501
597,4.17915157479168,NA,NA,NA,NA
598,1.93636972809077,17.5879096026315,146.869515182803,0.14067915128556,279.290487331961
600,8.18140397598928,5.03470063084649,59.330851043878,-0.355758133957941,23.8944232483554
601,14.417219557126,32.9699031910672,195.378761857071,-0.0651522981712297,106.039210422872
602,4.86155355813067,3.73426262753006,17.2031762093232,0.0094237809520531,12.9796387277051
603,1.09342819922835,15.1790612954774,66.5535308425311,-0.682249042009676,19.569161020542
604,16.229949370799,54.3228047329493,201.749984913142,-0.404402088845455,17.7554377501254
605,4.26096992897342,25.0397563851479,100.220111990338,-0.0614647313971075,50.5223718658169
606,11.7151342870342,44.9412380689271,183.143346745982,-0.101757324170011,1.95561362767288
607,3.54215011736196,8.26348583352444,51.2338699191495,0.185354165911788,63.3100772680707
608,3.22331117819633,2.66570468272885,16.4956387193174,0.0912070897539926,3.64465657810628
609,1.81845412337491,11.298496195318,35.5323849127464,-0.202311409183297,10.5533049686987
610,8.49767694845624,14.3961481796543,77.9184283009902,-0.385575774435479,87.7452992588258
611,5.03944245476474,19.1870792737662,72.3079713426406,0.0312134423275932,45.4912343824033
612,0.866753868916365,10.7145951121262,40.5928608032014,-0.135906826130027,17.9003580770362
613,4.60920721508954,32.4745333759005,97.1265785261126,-0.251342273585749,62.9974518903308
614,29.3106606361529,38.0970042203478,158.833010378945,0.0208496070380726,NA
615,4.99518281348156,36.247448244654,74.8200701858155,-0.0496276087852919,16.7037813535865
616,18.5256610443649,104.937876047378,353.668321500368,-0.538057386898794,78.9437311667397
617,9.75387264296209,-4.03429674986354,15.2582581727852,-0.0414019425961047,11.1656661818203
618,6.05294293950611,42.2209016063315,127.306758156514,0.053325045002255,71.3567376809428
619,20.9244886611314,113.881373076812,353.633560265835,-0.0707574430120469,27.9211030242315
620,11.3252152664042,1.61911735758687,28.448486567572,0.132287884807522,27.0507381277117
621,7.9797876444557,42.5916634617116,143.831804177965,-0.159923027453964,68.935496030363
622,7.10468022410793,20.111792995541,74.6379077343499,0.0881905144940571,1.89567750236503
623,11.0232656142923,116.743658160657,312.462093292348,-0.521959246751758,160.11639609808
624,2.42590885019098,22.9271707925178,63.2887614903994,-0.0869474512081997,45.5831925710333
625,5.53149196006714,21.2836643533224,66.9385359160482,-0.0202181278944881,48.2119115816023
626,1.56555369335351,4.44381461434206,16.0457128782736,-0.26665110355203,10.0562350947439
627,10.3363180347064,41.1255334625735,207.88058187226,-0.406177991119632,214.763641987066
628,5.3473654198397,9.30478419683257,82.4714134786068,0.113884420208167,115.669747172566
629,5.66941493139083,16.5034596234296,51.5113938193921,-0.180509632013925,37.6460315496028
630,6.45702840154551,23.1971140562162,116.078223394664,-0.796725486956732,107.532838829029
631,10.5126061406496,21.0961369796042,183.555659920127,-0.164193869512543,238.514529316595
632,2.14047618058876,5.26872836830907,19.4719106334119,-0.228381435209644,5.98638071777492
